	MC Sample	Luminosity	Cross Section (pb)	Number of Events	Calculated Weight
0	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
1	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
2	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
3	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
4	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
5	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
6	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
7	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
8	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
9	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
10	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
11	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
12	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
13	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
14	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
15	T-tchan	59830	44.07	154130900.0	0.01710694026960201
16	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
17	T-tW	59830	35.6	9242000.0	0.23046396883791387
18	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
19	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
20	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
21	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
22	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
23	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
24	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
25	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
26	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
27	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
28	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
29	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
30	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
31	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
32	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
33	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
34	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
35	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
36	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
37	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
38	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
39	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
40	Tbar-tchan	59830	26.23	79090800.0	0.019842268633014207
41	T-tchan	59830	44.07	154130900.0	0.01710694026960201
42	Tbar-tW	59830	35.6	7623000.0	0.27941073068345795
43	T-tW	59830	35.6	9242000.0	0.23046396883791387
44	WJetsToLNu_HT-100To200	59830	1627.45	29521158.0	3.2983236463827064
45	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
46	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
47	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
48	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
49	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
50	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
51	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
52	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
53	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
54	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
55	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
56	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
57	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
58	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
59	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
